Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
befingern,befingere,befingerst,befingert,befingerte,befingert,befingerte,befinger,befingert,haben
befischen,befische,befischst,befischt,befischte,befischt,befischte,befisch,befischt,haben
beflaggen,beflagge,beflaggst,beflaggt,beflaggte,beflaggt,beflaggte,beflagg,beflaggt,haben
beflecken,beflecke,befleckst,befleckt,befleckte,befleckt,befleckte,befleck,befleckt,haben
beflegeln,beflegele,beflegelst,beflegelt,beflegelte,beflegelt,beflegelte,beflegel,beflegelt,haben
befleißen,befleiße,befleißt,befleißt,befliss,beflissen,beflisse,befleiß,befleißt,haben
befleißigen,befleißige,befleißigst,befleißigt,befleißigte,befleißigt,befleißigte,befleißig,befleißigt,haben
beflicken,beflicke,beflickst,beflickt,beflickte,beflickt,beflickte,beflick,beflickt,haben
befliegen,befliege,befliegst,befliegt,beflog,beflogen,beflöge,beflieg,befliegt,haben
beflocken,beflocke,beflockst,beflockt,beflockte,beflockt,beflockte,beflock,beflockt,haben
beflügeln,beflügle,beflügelst,beflügelt,beflügelte,beflügelt,beflügelte,beflügle,beflügelt,haben
befluten,beflute,beflutest,beflutet,beflutete,beflutet,beflutete,beflut,beflutet,haben
befolgen,befolge,befolgst,befolgt,befolgte,befolgt,befolgte,befolg,befolgt,haben
befördern,befördere,beförderst,befördert,beförderte,befördert,beförderte,befördere,befördert,haben
beforsten,beforste,beforstest,beforstet,beforstete,beforstet,beforstete,beforst,beforstet,haben
beförstern,beförstere,beförsterst,beförstert,beförsterte,beförstert,beförsterte,beförster,beförstert,haben
befrachten,befrachte,befrachtest,befrachtet,befrachtete,befrachtet,befrachtete,befracht,befrachtet,haben
befragen,befrage,befragst,befragt,befragte,befragt,befragte,befrag,befragt,haben
befreien,befreie,befreist,befreit,befreite,befreit,befreite,befreie,befreit,haben
befremden,befremde,befremdest,befremdet,befremdete,befremdet,befremdete,befremde,befremdet,haben
befreunden,befreunde,befreundest,befreundet,befreundete,befreundet,befreundete,befreund,befreundet,haben
befrieden,befriede,befriedest,befriedet,befriedete,befriedet,befriedete,befriede,befriedet,haben
befriedigen,befriedige,befriedigst,befriedigt,befriedigte,befriedigt,befriedigte,befriedige,befriedigt,haben
befristen,befriste,befristest,befristet,befristete,befristet,befristete,befriste,befristet,haben
befruchten,befruchte,befruchtest,befruchtet,befruchtete,befruchtet,befruchtete,befrucht,befruchtet,haben
befugen,befuge,befugst,befugt,befugte,befugt,befugte,befug,befugt,haben
befühlen,befühle,befühlst,befühlt,befühlte,befühlt,befühlte,befühle,befühlt,haben
befüllen,befülle,befüllst,befüllt,befüllte,befüllt,befüllte,befüll,befüllt,haben
befummeln,befummele,befummelst,befummelt,befummelte,befummelt,befummelte,befummel,befummelt,haben
befunden,befunde,befundest,befundet,befundete,befundet,befundete,befund,befundet,haben
befürchten,befürchte,befürchtest,befürchtet,befürchtete,befürchtet,befürchtete,befürchte,befürchtet,haben
befürsorgen,befürsorge,befürsorgst,befürsorgt,befürsorgte,befürsorgt,befürsorgte,befürsorg,befürsorgt,haben
befürworten,befürworte,befürwortest,befürwortet,befürwortete,befürwortet,befürwortete,befürwort,befürwortet,haben
begaben,begabe,begabst,begabt,begabte,begabt,begabte,begab,begabt,haben
begaffen,begaffe,begaffst,begafft,begaffte,begafft,begaffte,begaff,begafft,haben
begasen,begase,begast,begast,begaste,begast,begaste,begas,begast,haben
begatten,begatte,begattest,begattet,begattete,begattet,begattete,begatte,begattet,haben
begaunern,begaunere,begaunerst,begaunert,begaunerte,begaunert,begaunerte,begauner,begaunert,haben
begeben,begebe,begibst,begibt,begab,begeben,begäbe,begib,begebt,haben
begegnen,begegne,begegnest,begegnet,begegnete,begegnet,begegnete,begegne,begegnet,sein
begehen,begehe,begehst,begeht,beging,begangen,beginge,begeh,begeht,haben
begehren,begehre,begehrst,begehrt,begehrte,begehrt,begehrte,begehre,begehret,haben
begeifern,begeifere,begeiferst,begeifert,begeiferte,begeifert,begeiferte,begeifer,begeifert,haben
begeistern,begeistere,begeisterst,begeistert,begeisterte,begeistert,begeisterte,begeistere,begeistert,haben
begichten,begichte,begichtest,begichtet,begichtete,begichtet,begichtete,begicht,begichtet,haben
begießen,begieße,begießt,begießt,begoss,begossen,begösse,begieße,begießt,haben
beginnen,beginne,beginnst,beginnt,begann,begonnen,begönne,beginn,beginnt,haben
beglänzen,beglänze,beglänzt,beglänzt,beglänzte,beglänzt,beglänzte,beglänz,beglänzt,haben
beglaubigen,beglaubige,beglaubigst,beglaubigt,beglaubigte,beglaubigt,beglaubigte,beglaubig,beglaubigt,haben
begleichen,begleiche,begleichst,begleicht,beglich,beglichen,begliche,begleiche,begleicht,haben
begleiten,begleite,begleitest,begleitet,begleitete,begleitet,begleitete,begleite,begleitet,haben
beglotzen,beglotze,beglotzt,beglotzt,beglotzte,beglotzt,beglotzte,beglotz,beglotzt,haben
beglücken,beglücke,beglückst,beglückt,beglückte,beglückt,beglückte,beglück,beglückt,haben
beglückwünschen,beglückwünsche,beglückwünschst,beglückwünscht,beglückwünschte,beglückwünscht,beglückwünschte,beglückwünsche,beglückwünscht,haben
begnaden,begnade,begnadest,begnadet,begnadete,begnadet,begnadete,begnad,begnadet,haben
begnadigen,begnadige,begnadigst,begnadigt,begnadigte,begnadigt,begnadigte,begnadige,begnadigt,haben
begnügen,begnüge,begnügst,begnügt,begnügte,begnügt,begnügte,begnüge,begnügt,haben
begönnern,begönnere,begönnerst,begönnert,begönnerte,begönnert,begönnerte,begönner,begönnert,haben
begöschen,begösche,begöschst,begöscht,begöschte,begöscht,begöschte,begösche,begöscht,haben
begrabbeln,begrabbele,begrabbelst,begrabbelt,begrabbelte,begrabbelt,begrabbelte,begrabbel,begrabbelt,haben
begraben,begrabe,begräbst,begräbt,begrub,begraben,begrübe,begrab,begrabt,haben
begrabschen,begrabsche,begrabschst,begrabscht,begrabschte,begrabscht,begrabschte,begrabsch,begrabscht,haben
begradigen,begradige,begradigst,begradigt,begradigte,begradigt,begradigte,begradig,begradigt,haben
begrapschen,begrapsche,begrapschst,begrapscht,begrapschte,begrapscht,begrapschte,begrapsch,begrapscht,haben
begreifen,begreife,begreifst,begreift,begriff,begriffen,begriffe,begreife,begreift,haben
begrenzen,begrenze,begrenzt,begrenzt,begrenzte,begrenzt,begrenzte,begrenze,begrenzt,haben
begründen,begründe,begründest,begründet,begründete,begründet,begründete,begründe,begründet,haben
begrünen,begrüne,begrünst,begrünt,begrünte,begrünt,begrünte,begrün,begrünt,haben
begrüßen,begrüße,begrüßt,begrüßt,begrüßte,begrüßt,begrüßte,begrüße,begrüßt,haben
begucken,begucke,beguckst,beguckt,beguckte,beguckt,beguckte,beguck,beguckt,haben
begünstigen,begünstige,begünstigst,begünstigt,begünstigte,begünstigt,begünstigte,begünstige,begünstigt,haben
begutachten,begutachte,begutachtest,begutachtet,begutachtete,begutachtet,begutachtete,begutachte,begutachtet,haben
begütigen,begütige,begütigst,begütigt,begütigte,begütigt,begütigte,begütig,begütigt,haben
behaaren,behaare,behaarst,behaart,behaarte,behaart,behaarte,behaar,behaart,haben
behacken,behacke,behackst,behackt,behackte,behackt,behackte,behack,behackt,haben
behaften,behafte,behaftest,behaftet,behaftete,behaftet,behaftete,behaft,behaftet,haben
behagen,behage,behagst,behagt,behagte,behagt,behagte,behag,behagt,haben
behalten,behalte,behältst,behält,behielt,behalten,behielte,behalte,behaltet,haben
behämmern,behämmere,behämmerst,behämmert,behämmerte,behämmert,behämmerte,behämmer,behämmert,haben
behandeln,behandele,behandelst,behandelt,behandelte,behandelt,behandelte,behandele,behandelt,haben
behändigen,behändige,behändigst,behändigt,behändigte,behändigt,behändigte,behändig,behändigt,haben
behängen,behänge,behängst,behängt,behängte,behängt,behängte,behäng,behängt,haben
beharken,beharke,beharkst,beharkt,beharkte,beharkt,beharkte,behark,beharkt,haben
beharren,beharre,beharrst,beharrt,beharrte,beharrt,beharrte,beharre,beharrt,haben
behauchen,behauche,behauchst,behaucht,behauchte,behaucht,behauchte,behauch,behaucht,haben
behauen,behaue,behaust,behaut,behaute,behauen,behaute,behau,behaut,haben
behäufeln,behäufele,behäufelst,behäufelt,behäufelte,behäufelt,behäufelte,behäufel,behäufelt,haben
behaupten,behaupte,behauptest,behauptet,behauptete,behauptet,behauptete,behaupte,behauptet,haben
behausen,behause,behaust,behaust,behauste,behaust,behauste,behaus,behaust,haben
beheben,behebe,behebst,behebt,behob,behoben,behöbe,behebe,behebt,haben
beheimaten,beheimate,beheimatest,beheimatet,beheimatete,beheimatet,beheimatete,beheimat,beheimatet,haben
beheizen,beheize,beheizt,beheizt,beheizte,beheizt,beheizte,beheiz,beheizt,haben
behelfen,behelfe,behilfst,behilft,behalf,beholfen,behülfe,behilf,behelft,haben
behelligen,behellige,behelligst,behelligt,behelligte,behelligt,behelligte,behellige,behelligt,haben
beherbergen,beherberge,beherbergst,beherbergt,beherbergte,beherbergt,beherbergte,beherberg,beherbergt,haben
beherrschen,beherrsche,beherrschst,beherrscht,beherrschte,beherrscht,beherrschte,beherrsche,beherrscht,haben
beherzigen,beherzige,beherzigst,beherzigt,beherzigte,beherzigt,beherzigte,beherzig,beherzigt,haben
behexen,behexe,behext,behext,behexte,behext,behexte,behex,behext,haben
behindern,behindere,behinderst,behindert,behinderte,behindert,behinderte,behindere,behindert,haben
behobeln,behobele,behobelst,behobelt,behobelte,behobelt,behobelte,behobel,behobelt,haben
behorchen,behorche,behorchst,behorcht,behorchte,behorcht,behorchte,behorch,behorcht,haben
behören,behöre,behörst,behört,behörte,behört,behörte,behör,behört,haben
behufen,behufe,behufst,behuft,behufte,behuft,behufte,behuf,behuft,haben
behumsen,behumse,behumst,behumst,behumste,behumst,behumste,behumse,behumst,haben
behüten,behüte,behütest,behütet,behütete,behütet,behütete,behüt,behütet,haben
beibehalten,behalte bei,behältst bei,behält bei,behielt bei,beibehalten,behielte bei,behalte bei,behaltet bei,haben
beibleiben,bleibe bei,bleibst bei,bleibt bei,blieb bei,beigeblieben,bliebe bei,bleib bei,bleibt bei,sein
beibringen,bringe bei,bringst bei,bringt bei,brachte bei,beigebracht,brächte bei,bring bei,bringt bei,haben
beichten,beichte,beichtest,beichtet,beichtete,gebeichtet,beichtete,beichte,beichtet,haben
beifügen,füge bei,fügst bei,fügt bei,fügte bei,beigefügt,fügte bei,füge bei,fügt bei,haben
beigen,beige,beigst,beigt,beigte,gebeigt,beigte,beig,beigt,haben
beilegen,lege bei,legst bei,legt bei,legte bei,beigelegt,legte bei,leg bei,legt bei,haben
beiliegen,liege bei,liegst bei,liegt bei,lag bei,beigelegen,läge bei,lieg bei,liegt bei,haben
beimpfen,beimpfe,beimpfst,beimpft,beimpfte,beimpft,beimpfte,beimpf,beimpft,haben
beinhalten,beinhalte,beinhaltest,beinhaltet,beinhaltete,beinhaltet,beinhaltete,beinhalte,beinhaltet,haben
beipflichten,pflichte bei,pflichtest bei,pflichtet bei,pflichtete bei,beigepflichtet,pflichtete bei,pflicht bei,pflichtet bei,haben
beirren,beirre,beirrst,beirrt,beirrte,beirrt,beirrte,beirr,beirrt,haben
beiseitelassen,lasse beiseite,lässt beiseite,lässt beiseite,ließ beiseite,beiseitegelassen,ließe beiseite,lass beiseite,lasst beiseite,haben
beiseitelegen,lege beiseite,legst beiseite,legt beiseite,legte beiseite,beiseitegelegt,legte beiseite,leg beiseite,legt beiseite,haben
beiseiteschieben,schiebe beiseite,schiebst beiseite,schiebt beiseite,schob beiseite,beiseitegeschoben,schöbe beiseite,schieb beiseite,schiebt beiseite,haben
beisetzen,setze bei,setzt bei,setzt bei,setzte bei,beigesetzt,setzte bei,setze bei,setzt bei,haben
beispringen,springe bei,springst bei,springt bei,sprang bei,beigesprungen,spränge bei,spring bei,springt bei,sein
beißen,beiße,beißt,beißt,biss,gebissen,bisse,beiße,beißt,haben
beistehen,stehe bei,stehst bei,steht bei,stand bei,beigestanden,stände bei,steh bei,steht bei,haben
beistellen,stelle bei,stellst bei,stellt bei,stellte bei,beigestellt,stellte bei,stelle bei,stellt bei,haben
beisteuern,steuere bei,steuerst bei,steuert bei,steuerte bei,beigesteuert,steuerte bei,steuere bei,steuert bei,haben
beistimmen,stimme bei,stimmst bei,stimmt bei,stimmte bei,beigestimmt,stimmte bei,stimm bei,stimmt bei,haben
beitragen,trage bei,trägst bei,trägt bei,trug bei,beigetragen,trüge bei,trag bei,tragt bei,haben
beitreten,trete bei,trittst bei,tritt bei,trat bei,beigetreten,träte bei,tritt bei,tretet bei,sein
beiwohnen,wohne bei,wohnst bei,wohnt bei,wohnte bei,beigewohnt,wohnte bei,wohn bei,wohnt bei,haben
beizen,beize,beizt,beizt,beizte,gebeizt,beizte,beiz,beizt,haben
bejagen,bejage,bejagst,bejagt,bejagte,bejagt,bejagte,bejag,bejagt,haben
bejahen,bejahe,bejahst,bejaht,bejahte,bejaht,bejahte,bejahe,bejaht,haben
bejammern,bejammere,bejammerst,bejammert,bejammerte,bejammert,bejammerte,bejammere,bejammert,haben
bejubeln,bejubele,bejubelst,bejubelt,bejubelte,bejubelt,bejubelte,bejubel,bejubelt,haben
bekacken,bekacke,bekackst,bekackt,bekackte,bekackt,bekackte,bekack,bekackt,haben
bekakeln,bekakele,bekakelst,bekakelt,bekakelte,bekakelt,bekakelte,bekakel,bekakelt,haben
bekalmen,bekalme,bekalmst,bekalmt,bekalmte,bekalmt,bekalmte,bekalm,bekalmt,haben
bekämpfen,bekämpfe,bekämpfst,bekämpft,bekämpfte,bekämpft,bekämpfte,bekämpf,bekämpft,haben
bekannt geben,gebe bekannt,gibst bekannt,gibt bekannt,gab bekannt,bekannt gegeben,gäbe bekannt,gib bekannt,gebt bekannt,haben
bekanntgeben,gebe bekannt,gibst bekannt,gibt bekannt,gab bekannt,bekanntgegeben,gäbe bekannt,gib bekannt,gebt bekannt,haben
bekanntwerden,werde bekannt,wirst bekannt,wird bekannt,wurde bekannt,bekanntgeworden,würde bekannt,werde bekannt,werdet bekannt,sein
bekanten,bekante,bekantest,bekantet,bekantete,bekantet,bekantete,bekant,bekantet,haben
bekauen,bekaue,bekaust,bekaut,bekaute,bekaut,bekaute,bekau,bekaut,haben
bekaufen,bekaufe,bekaufst,bekauft,bekaufte,bekauft,bekaufte,bekauf,bekauft,haben
bekehren,bekehre,bekehrst,bekehrt,bekehrte,bekehrt,bekehrte,bekehre,bekehrt,haben
bekeifen,bekeife,bekeifst,bekeift,bekeifte,bekeift,bekeifte,bekeif,bekeift,haben
bekennen,bekenne,bekennst,bekennt,bekannte,bekannt,bekennte,bekenne,bekennt,haben
bekiffen,bekiffe,bekiffst,bekifft,bekiffte,bekifft,bekiffte,bekiff,bekifft,haben
beklagen,beklage,beklagst,beklagt,beklagte,beklagt,beklagte,beklag,beklagt,haben
beklatschen,beklatsche,beklatschst,beklatscht,beklatschte,beklatscht,beklatschte,beklatsche,beklatscht,haben
beklauen,beklaue,beklaust,beklaut,beklaute,beklaut,beklaute,beklau,beklaut,haben
bekleben,beklebe,beklebst,beklebt,beklebte,beklebt,beklebte,bekleb,beklebt,haben
bekleckern,bekleckere,bekleckerst,bekleckert,bekleckerte,bekleckert,bekleckerte,beklecker,bekleckert,haben
beklecksen,bekleckse,bekleckst,bekleckst,bekleckste,bekleckst,bekleckste,beklecks,bekleckst,haben
bekleiden,bekleide,bekleidest,bekleidet,bekleidete,bekleidet,bekleidete,bekleid,bekleidet,haben
bekleistern,bekleistere,bekleisterst,bekleistert,bekleisterte,bekleistert,bekleisterte,bekleister,bekleistert,haben
beklemmen,beklemme,beklemmst,beklemmt,beklemmte,beklemmt,beklemmte,beklemme,beklemmt,haben
beklettern,beklettere,bekletterst,beklettert,bekletterte,beklettert,bekletterte,bekletter,beklettert,haben
beklieren,bekliere,beklierst,bekliert,beklierte,bekliert,beklierte,beklier,bekliert,haben
beklimmen,beklimme,beklimmst,beklimmt,beklomm,beklommen,beklömme,beklimm,beklimmt,haben
beklönen,beklöne,beklönst,beklönt,beklönte,beklönt,beklönte,beklön,beklönt,haben
beklopfen,beklopfe,beklopfst,beklopft,beklopfte,beklopft,beklopfte,beklopf,beklopft,haben
beknabbern,beknabbere,beknabberst,beknabbert,beknabberte,beknabbert,beknabberte,beknabber,beknabbert,haben
bekneifen,bekneife,bekneifst,bekneift,bekniff,bekniffen,bekniffe,bekneif,bekneift,haben
beknien,beknie,bekniest,bekniet,bekniete,bekniet,bekniete,beknie,bekniet,haben
beknospen,—,—,beknospt,beknospte,beknospt,beknospte,—,—,haben
bekochen,bekoche,bekochst,bekocht,bekochte,bekocht,bekochte,bekoch,bekocht,haben
beködern,beködere,beköderst,beködert,beköderte,beködert,beköderte,beköder,beködert,haben
bekohlen,bekohle,bekohlst,bekohlt,bekohlte,bekohlt,bekohlte,bekohl,bekohlt,haben
bekommen,bekomme,bekommst,bekommt,bekam,bekommen,bekäme,bekomm,bekommt,haben
bekomplimentieren,bekomplimentiere,bekomplimentierst,bekomplimentiert,bekomplimentierte,bekomplimentiert,bekomplimentierte,bekomplimentier,bekomplimentiert,haben
bekosten,bekoste,bekostest,bekostet,bekostete,bekostet,bekostete,bekost,bekostet,haben
beköstigen,beköstige,beköstigst,beköstigt,beköstigte,beköstigt,beköstigte,beköstig,beköstigt,haben
bekoten,bekote,bekotest,bekotet,bekotete,bekotet,bekotete,bekot,bekotet,haben
bekotzen,bekotze,bekotzt,bekotzt,bekotzte,bekotzt,bekotzte,bekotz,bekotzt,haben
bekrabbeln,bekrabbele,bekrabbelst,bekrabbelt,bekrabbelte,bekrabbelt,bekrabbelte,bekrabbel,bekrabbelt,haben
bekräftigen,bekräftige,bekräftigst,bekräftigt,bekräftigte,bekräftigt,bekräftigte,bekräftige,bekräftigt,haben
bekränzen,bekränze,bekränzt,bekränzt,bekränzte,bekränzt,bekränzte,bekränz,bekränzt,haben
bekreuzen,bekreuze,bekreuzt,bekreuzt,bekreuzte,bekreuzt,bekreuzte,bekreuz,bekreuzt,haben
bekreuzigen,bekreuzige,bekreuzigst,bekreuzigt,bekreuzigte,bekreuzigt,bekreuzigte,bekreuzig,bekreuzigt,haben
bekriechen,bekrieche,bekriechst,bekriecht,bekroch,bekrochen,bekröche,bekriech,bekriecht,haben
bekriegen,bekriege,bekriegst,bekriegt,bekriegte,bekriegt,bekriegte,bekriege,bekriegt,haben
bekringeln,bekringele,bekringelst,bekringelt,bekringelte,bekringelt,bekringelte,bekringel,bekringelt,haben
bekritteln,bekrittele,bekrittelst,bekrittelt,bekrittelte,bekrittelt,bekrittelte,bekrittel,bekrittelt,haben
bekritzeln,bekritzele,bekritzelst,bekritzelt,bekritzelte,bekritzelt,bekritzelte,bekritzel,bekritzelt,haben
bekrönen,bekröne,bekrönst,bekrönt,bekrönte,bekrönt,bekrönte,bekrön,bekrönt,haben
bekrusten,bekruste,bekrustest,bekrustet,bekrustete,bekrustet,bekrustete,bekrust,bekrustet,haben
bekucken,bekucke,bekuckst,bekuckt,bekuckte,bekuckt,bekuckte,bekuck,bekuckt,haben
bekümmern,bekümmere,bekümmerst,bekümmert,bekümmerte,bekümmert,bekümmerte,bekümmer,bekümmert,haben
bekunden,bekunde,bekundest,bekundet,bekundete,bekundet,bekundete,bekund,bekundet,haben
belabern,belabere,belaberst,belabert,belaberte,belabert,belaberte,belabere,belabert,haben
belächeln,belächele,belächelst,belächelt,belächelte,belächelt,belächelte,belächel,belächelt,haben
belachen,belache,belachst,belacht,belachte,belacht,belachte,belach,belacht,haben
belackmeiern,belackmeiere,belackmeierst,belackmeiert,belackmeierte,belackmeiert,belackmeierte,belackmeier,belackmeiert,haben
beladen,belade,belädst,belädt,belud,beladen,belüde,belad,beladet,haben
belagern,belagere,belagerst,belagert,belagerte,belagert,belagerte,belager,belagert,haben
belämmern,belämmere,belämmerst,belämmert,belämmerte,belämmert,belämmerte,belämmer,belämmert,haben
belangen,belange,belangst,belangt,belangte,belangt,belangte,belange,belangt,haben
belassen,belasse,belässt,belässt,beließ,belassen,beließe,belass,belasst,haben
belasten,belaste,belastest,belastet,belastete,belastet,belastete,belaste,belastet,haben
belästigen,belästige,belästigst,belästigt,belästigte,belästigt,belästigte,belästige,belästigt,haben
belauben,belaube,belaubst,belaubt,belaubte,belaubt,belaubte,belaub,belaubt,haben
belauern,belauere,belauerst,belauert,belauerte,belauert,belauerte,belauere,belauert,haben
belaufen,belaufe,beläufst,beläuft,belief,belaufen,beliefe,belauf,belauft,haben
belauschen,belausche,belauschst,belauscht,belauschte,belauscht,belauschte,belausche,belauscht,haben
beleben,belebe,belebst,belebt,belebte,belebt,belebte,belebe,belebt,haben
belecken,belecke,beleckst,beleckt,beleckte,beleckt,beleckte,beleck,beleckt,haben
belegen,belege,belegst,belegt,belegte,belegt,belegte,belege,belegt,haben
belehen,belehe,belehst,beleht,belehte,beleht,belehte,beleh,beleht,haben
belehnen,belehne,belehnst,belehnt,belehnte,belehnt,belehnte,belehn,belehnt,haben
belehren,belehre,belehrst,belehrt,belehrte,belehrt,belehrte,belehr,belehrt,haben
beleidigen,beleidige,beleidigst,beleidigt,beleidigte,beleidigt,beleidigte,beleidige,beleidigt,haben
beleihen,beleihe,beleihst,beleiht,belieh,beliehen,belieh,beleih,beleiht,haben
belernen,belerne,belernst,belernt,belernte,belernt,belernte,belern,belernt,haben
beleuchten,beleuchte,beleuchtest,beleuchtet,beleuchtete,beleuchtet,beleuchtete,beleuchte,beleuchtet,haben
beleumden,beleumde,beleumdest,beleumdet,beleumdete,beleumundet,beleumdete,beleumde,beleumdet,haben
beleumunden,beleumunde,beleumundest,beleumundet,beleumundete,beleumundet,beleumundete,beleumund,beleumundet,haben
belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,haben
belgen,belge,bilgst,bilgt,balg,gebolgen,bülge,bilg,belgt,haben
belichten,belichte,belichtest,belichtet,belichtete,belichtet,belichtete,belicht,belichtet,haben
belieben,beliebe,beliebst,beliebt,beliebte,beliebt,beliebte,belieb,beliebet,haben
beliefern,beliefere,belieferst,beliefert,belieferte,beliefert,belieferte,beliefere,beliefert,haben
bellen,belle,bellst,bellt,bellte,gebellt,bellte,bell,bellt,haben
beloben,belobe,belobst,belobt,belobte,belobt,belobte,belob,belobt,haben
belobhudeln,belobhudele,belobhudelst,belobhudelt,belobhudelte,belobhudelt,belobhudelte,belobhudel,belobhudelt,haben
belobigen,belobige,belobigst,belobigt,belobigte,belobigt,belobigte,belobig,belobigt,haben
belohnen,belohne,belohnst,belohnt,belohnte,belohnt,belohnte,belohn,belohnt,haben
belorbeeren,belorbeere,belorbeerst,belorbeert,belorbeerte,belorbeert,belorbeerte,belorbeer,belorbeert,haben
beluchsen,beluchse,beluchst,beluchst,beluchste,beluchst,beluchste,beluchs,beluchst,haben
belüften,belüfte,belüftest,belüftet,belüftete,belüftet,belüftete,belüfte,belüftet,haben
belügen,belüge,belügst,belügt,belog,belogen,belöge,belüge,belügt,haben
belustigen,belustige,belustigst,belustigt,belustigte,belustigt,belustigte,belustige,belustigt,haben
belutschen,belutsche,belutschst,belutscht,belutschte,belutscht,belutschte,belutsch,belutscht,haben
bemachen,bemache,bemachst,bemacht,bemachte,bemacht,bemachte,bemach,bemacht,haben
bemächtigen,bemächtige,bemächtigst,bemächtigt,bemächtigte,bemächtigt,bemächtigte,bemächtig,bemächtigt,haben
bemakeln,bemakele,bemakelst,bemakelt,bemakelte,bemakelt,bemakelte,bemakel,bemakelt,haben
bemäkeln,bemäkele,bemäkelst,bemäkelt,bemäkelte,bemäkelt,bemäkelte,bemäkel,bemäkelt,haben
bemalen,bemale,bemalst,bemalt,bemalte,bemalt,bemalte,bemal,bemalt,haben
bemängeln,bemängle,bemängelst,bemängelt,bemängelte,bemängelt,bemängelte,bemängle,bemängelt,haben
bemannen,bemanne,bemannst,bemannt,bemannte,bemannt,bemannte,bemann,bemannt,haben
bemänteln,bemäntele,bemäntelst,bemäntelt,bemäntelte,bemäntelt,bemäntelte,bemäntel,bemäntelt,haben
bemasten,bemaste,bemastest,bemastet,bemastete,bemastet,bemastete,bemast,bemastet,haben
bemausen,bemause,bemaust,bemaust,bemauste,bemaust,bemauste,bemaus,bemaust,haben
bemehlen,bemehle,bemehlst,bemehlt,bemehlte,bemehlt,bemehlte,bemehl,bemehlt,haben
bemeiern,bemeiere,bemeierst,bemeiert,bemeierte,bemeiert,bemeierte,bemeier,bemeiert,haben
bemeistern,bemeistere,bemeisterst,bemeistert,bemeisterte,bemeistert,bemeisterte,bemeister,bemeistert,haben
bemerken,bemerke,bemerkst,bemerkt,bemerkte,bemerkt,bemerkte,bemerke,bemerkt,haben
bemessen,bemesse,bemisst,bemisst,bemaß,bemessen,bemäße,bemiss,bemesst,haben
bemisstrauen,bemisstraue,bemisstraust,bemisstraut,bemisstraute,bemisstraut,bemisstraute,bemisstrau,bemisstraut,haben
bemitleiden,bemitleide,bemitleidest,bemitleidet,bemitleidete,bemitleidet,bemitleidete,bemitleide,bemitleidet,haben
bemogeln,bemogele,bemogelst,bemogelt,bemogelte,bemogelt,bemogelte,bemogel,bemogelt,haben
bemoosen,bemoose,bemoost,bemoost,bemooste,bemoost,bemooste,bemoos,bemoost,haben
bemopsen,bemopse,bemopst,bemopst,bemopste,bemopst,bemopste,bemops,bemopst,haben
bemühen,bemühe,bemühst,bemüht,bemühte,bemüht,bemühte,bemüh,bemüht,haben
bemündeln,bemündele,bemündelst,bemündelt,bemündelte,bemündelt,bemündelte,bemündel,bemündelt,haben
bemüßigen,bemüßige,bemüßigst,bemüßigt,bemüßigte,bemüßigt,bemüßigte,bemüßige,bemüßigt,haben
bemustern,bemustere,bemusterst,bemustert,bemusterte,bemustert,bemusterte,bemustere,bemustert,haben
bemuttern,bemuttere,bemutterst,bemuttert,bemutterte,bemuttert,bemutterte,bemuttere,bemuttert,haben
benachrichtigen,benachrichtige,benachrichtigst,benachrichtigt,benachrichtigte,benachrichtigt,benachrichtigte,benachrichtige,benachrichtigt,haben
benachteiligen,benachteilige,benachteiligst,benachteiligt,benachteiligte,benachteiligt,benachteiligte,benachteilig,benachteiligt,haben
benageln,benagele,benagelst,benagelt,benagelte,benagelt,benagelte,benagel,benagelt,haben
benagen,benage,benagst,benagt,benagte,benagt,benagte,benag,benagt,haben
benähen,benähe,benähst,benäht,benähte,benäht,benähte,benäh,benäht,haben
benamsen,benamse,benamst,benamst,benamste,benamst,benamste,benams,benamst,haben
benässen,benässe,benässt,benässt,benässte,benässt,benässte,benäss,benässt,haben
benebeln,benebel,benebelst,benebelt,benebelte,benebelt,benebelte,benebel,benebelt,haben
benedeien,benedeie,benedeist,benedeit,benedeite,gebenedeit,benedeite,benedeie,benedeit,haben
benedizieren,benediziere,benedizierst,benediziert,benedizierte,benediziert,benedizierte,benedizier,benediziert,haben
benehmen,benehme,benimmst,benimmt,benahm,benommen,benähme,benimm,benehmt,haben
beneiden,beneide,beneidest,beneidet,beneidete,beneidet,beneidete,beneide,beneidet,haben
benennen,benenne,benennst,benennt,benannte,benannt,benennte,benenne,benennt,haben
benetzen,benetze,benetzt,benetzt,benetzte,benetzt,benetzte,benetz,benetzt,haben
beniesen,beniese,beniest,beniest,benieste,beniest,benieste,benies,beniest,haben
benoten,benote,benotest,benotet,benotete,benotet,benotete,benot,benotet,haben
benötigen,benötige,benötigst,benötigt,benötigte,benötigt,benötigte,benötige,benötigt,haben
benummern,benummere,benummerst,benummert,benummerte,benummert,benummerte,benummer,benummert,haben
benutzen,benutze,benutzt,benutzt,benutzte,benutzt,benutzte,benutze,benutzt,haben
benützen,benütze,benützt,benützt,benützte,benützt,benützte,benütze,benützt,haben
